Codigo    Quant  PUnit      Valor
10001     13     250,00     3250,00
10002     12     275,00     3300,00
10003     15     270,00     4050,00
10004     11     200,00     2200,00
10005     10     400,00     4000,00
10006     10     410,00     4100,00
10007      8     400,00     3200,00
10008      9     410,00     3690,00
10009     20     750,00    15000,00
10010      9     750,00     6750,00
10011     12     800,00     9600,00
10012     14     800,00    11200,00
10013      8     750,00     6000,00
10014     11     750,00     8250,00
10015      6     800,00     4800,00
10016     10     800,00     8000,00
10017      3     900,00     2700,00
10018     11     900,00     9900,00
10019      5    1000,00     5000,00
10020      8    1000,00     8000,00
10021      4    1250,00     5000,00
10022      4    1250,00     5000,00
10023      2    1250,00     2500,00
10024      5    1275,00     6375,00
10025      2    1300,00     2600,00
10101      8     250,00     2000,00
10102      8     275,00     2200,00
10103     12     270,00     3240,00
10104     15     200,00     3000,00
10105     12     400,00     4800,00
10106     12     410,00     4920,00
10107     11     400,00     4400,00
10108      9     410,00     3690,00
10109     10     750,00     7500,00
10110      8     750,00     6000,00
10111      8     800,00     6400,00
10112      8     800,00     6400,00
10113      6     750,00     4500,00
10114     12     750,00     9000,00
10115      8     800,00     6400,00
10116      9     800,00     7200,00
10117      5     900,00     4500,00
10118      7     900,00     6300,00
10119      4    1000,00     4000,00
10120      4    1000,00     4000,00
10121      7    1250,00     8750,00
10122      6    1250,00     7500,00
10123      4    1250,00     5000,00
10124      7    1275,00     8925,00
10125      5    1300,00     6500,00
10201     11     250,00     2750,00
10202     11     275,00     3025,00
10203     16     270,00     4320,00
10204     11     200,00     2200,00
10205      9     400,00     3600,00
10206     12     410,00     4920,00
10207     10     400,00     4000,00
10208      9     410,00     3690,00
10209     16     750,00    12000,00
10210     13     750,00     9750,00
10211     14     800,00    11200,00
10212      8     800,00     6400,00
10213      2     745,00     1490,00
10214      4     750,00     3000,00
10215      5     800,00     4000,00
10216      7     800,00     5600,00
10217      8     900,00     7200,00
10218      9     900,00     8100,00
10219     11    1000,00    11000,00
10220      5    1000,00     5000,00
10221      4    1250,00     5000,00
10222      6    1250,00     7500,00
10223      7    1250,00     8750,00
10224      5    1275,00     6375,00
10225      4    1300,00     5200,00
10301     15     250,00     3750,00
10302     16     275,00     4400,00
10303     18     270,00     4860,00
10304     11     200,00     2200,00
10305     13     400,00     5200,00
10306     13     410,00     5330,00
10307     17     400,00     6800,00
10308     14     410,00     5740,00
10309     22     750,00    16500,00
10310     16     750,00    12000,00
10311     12     800,00     9600,00
10312     14     800,00    11200,00
10313     18     750,00    13500,00
10314     17     750,00    12750,00
10315     12     800,00     9600,00
10316     14     800,00    11200,00
10317     14     900,00    12600,00
10318     17     900,00    15300,00
10319     10    1000,00    10000,00
10320     12    1000,00    12000,00
10321     19    1250,00    23750,00
10322     15    1250,00    18750,00
10323     13    1250,00    16250,00
10324     12    1275,00    15300,00
10325     15    1300,00    19500,00
10401     15     250,00     3750,00
10402     16     275,00     4400,00
10403     18     270,00     4860,00
10404     11     200,00     2200,00
10405     13     400,00     5200,00
10406     13     410,00     5330,00
10407     17     400,00     6800,00
10408     14     410,00     5740,00
10409     22     750,00    16500,00
10410     16     750,00    12000,00
10411     12     800,00     9600,00
10412     14     800,00    11200,00
10413     18     750,00    13500,00
10414     17     750,00    12750,00
10415     12     800,00     9600,00
10416     14     800,00    11200,00
10417     14     900,00    12600,00
10418     17     900,00    15300,00
10419     10    1000,00    10000,00
10420     12    1000,00    12000,00
10421     19    1250,00    23750,00
10422     15    1250,00    18750,00
10423     13    1250,00    16250,00
10424     12    1275,00    15300,00
10425     15    1300,00    19500,00
10501      8     250,00     2000,00
10502      6     275,00     1650,00
10503      9     270,00     2430,00
10504     11     200,00     2200,00
10505     12     400,00     4800,00
10506     11     410,00     4510,00
10507      7     400,00     2800,00
10508      9     410,00     3690,00
10509     14     750,00    10500,00
10510     16     750,00    12000,00
10511     14     810,00    11340,00
10512     12     800,00     9600,00
10513     18     750,00    13500,00
10514     19     750,00    14250,00
10515      7     800,00     5600,00
10516      7     800,00     5600,00
10517      4     900,00     3600,00
10518      4     900,00     3600,00
10519      8    1000,00     8000,00
10520      8    1000,00     8000,00
10521      4    1250,00     5000,00
10522      4    1250,00     5000,00
10523      4    1250,00     5000,00
10524      5    1275,00     6375,00
10525      4    1300,00     5200,00
10601     13     250,00     3250,00
10602     12     275,00     3300,00
10603     17     270,00     4590,00
10604     11     200,00     2200,00
10605     10     400,00     4000,00
10606     15     410,00     6150,00
10607     12     400,00     4800,00
10608     12     410,00     4920,00
10609      6     750,00     4500,00
10610      4     750,00     3000,00
10611      9     800,00     7200,00
10612      9     800,00     7200,00
10613      8     750,00     6000,00
10614      2     750,00     1500,00
10615      9     800,00     7200,00
10616      9     800,00     7200,00
10617      6     900,00     5400,00
10618      7     900,00     6300,00
10619      4    1000,00     4000,00
10620      6    1000,00     6000,00
10621      4    1250,00     5000,00
10622      4    1250,00     5000,00
10623      4    1250,00     5000,00
10624      5    1275,00     6375,00
10625      4    1300,00     5200,00
10701      6     450,00     2700,00
10702      5     450,00     2250,00
10703      6     470,00     2820,00
10704      6     470,00     2820,00
10705      4     600,00     2400,00
10706      8     610,00     4880,00
10707      2     600,00     1200,00
10708      6     610,00     3660,00
10709      8     800,00     6400,00
10710      8     800,00     6400,00
10711      2     900,00     1800,00
10712      8     900,00     7200,00
10713      6     950,00     5700,00
10714      5     950,00     4750,00
10715     10     950,00     9500,00
10716      5     975,00     4875,00
10717      9     975,00     8775,00
10718      7    1050,00     7350,00
10719      2    1050,00     2100,00
10720      9    1050,00     9450,00
10721      4    1175,00     4700,00
10722      5    1175,00     5875,00
10723      6    1300,00     7800,00
10724      2    1405,00     2810,00
10725      3    1500,00     4500,00
10801      5     450,00     2250,00
10802      5     450,00     2250,00
10803      6     470,00     2820,00
10804      7     470,00     3290,00
10805      8     600,00     4800,00
10806      3     610,00     1830,00
10807      4     600,00     2400,00
10808      8     610,00     4880,00
10809      6     800,00     4800,00
10810      3     800,00     2400,00
10811      9     900,00     8100,00
10812      8     900,00     7200,00
10813      4     950,00     3800,00
10814      6     950,00     5700,00
10815      4     950,00     3800,00
10816      5     975,00     4875,00
10817      8     975,00     7800,00
10818      8    1050,00     8400,00
10819      6    1050,00     6300,00
10820      6    1050,00     6300,00
10821      7    1175,00     8225,00
10822      5    1175,00     5875,00
10823      4    1300,00     5200,00
10824      8    1400,00    11200,00
10825      5    1500,00     7500,00
10901      9     450,00     4050,00
10902      9     450,00     4050,00
10903     11     470,00     5170,00
10904     11     470,00     5170,00
10905      7     600,00     4200,00
10906     11     610,00     6710,00
10907      8     600,00     4800,00
10908     12     610,00     7320,00
10909      7     800,00     5600,00
10910      7     800,00     5600,00
10911      4     900,00     3600,00
10912      9     900,00     8100,00
10913     10     950,00     9500,00
10914     11     950,00    10450,00
10915     13     950,00    12350,00
10916      9     975,00     8775,00
10917     12     975,00    11700,00
10918     10    1050,00    10500,00
10919      6    1050,00     6300,00
10920     10    1050,00    10500,00
10921      9    1175,00    10575,00
10922     12    1175,00    14100,00
10923      8    1300,00    10400,00
10924      8    1400,00    11200,00
10925      6    1500,00     9000,00
11001     13     450,00     5850,00
11002     14     450,00     6300,00
11003     18     470,00     8460,00
11004     19     470,00     8930,00
11005     25     600,00    15000,00
11006     23     610,00    14030,00
11007     17     600,00    10200,00
11008     16     610,00     9760,00
11009     14     800,00    11200,00
11010     19     800,00    15200,00
11011     15     900,00    13500,00
11012     14     900,00    12600,00
11013     19     950,00    18050,00
11014     22     950,00    20900,00
11015     24     950,00    22800,00
11016     22     975,00    21450,00
11017     17     975,00    16575,00
11018     15    1050,00    15750,00
11019     10    1050,00    10500,00
11020     13    1050,00    13650,00
11021     10    1175,00    11750,00
11022     14    1175,00    16450,00
11023     18    1300,00    23400,00
11024     18    1400,00    25200,00
11025     11    1500,00    16500,00
11201      4     450,00     1800,00
11202      3     450,00     1350,00
11203      2     470,00      940,00
11204      3     470,00     1410,00
11205      4     600,00     2400,00
11206      5     610,00     3050,00
11207      7     600,00     4200,00
11208      9     610,00     5490,00
11209      8     800,00     6400,00
11210     10     800,00     8000,00
11211      6     900,00     5400,00
11212      5     900,00     4500,00
11213      8     950,00     7600,00
11214      3     950,00     2850,00
11215      8     950,00     7600,00
11216      2     975,00     1950,00
11217      7     975,00     6825,00
11218      5    1050,00     5250,00
11219      5    1050,00     5250,00
11220      5    1050,00     5250,00
11221      6    1175,00     7050,00
11222      5    1175,00     5875,00
11223      4    1300,00     5200,00
11224      5    1400,00     7000,00
11225      1    1500,00     1500,00
11301     14     450,00     6300,00
11302     16     450,00     7200,00
11303     17     470,00     7990,00
11304     18     470,00     8460,00
11305     17     600,00    10200,00
11306     18     610,00    10980,00
11307     13     600,00     7800,00
11308     14     610,00     8540,00
11309     12     800,00     9600,00
11310     18     800,00    14400,00
11311     11     900,00     9900,00
11312     13     900,00    11700,00
11313     13     950,00    12350,00
11314     14     950,00    13300,00
11315     11     950,00    10450,00
11316     12     975,00    11700,00
11317     15     975,00    14625,00
11318     15    1050,00    15750,00
11319     11    1050,00    11550,00
11320     12    1050,00    12600,00
11321     10    1175,00    11750,00
11322      9    1175,00    10575,00
11323      9    1300,00    11700,00
11324     10    1400,00    14000,00
11325      5    1500,00     7500,00
11401      5     800,00     4000,00
11402      8     800,00     6400,00
11403      3     875,00     2625,00
11404      4     875,00     3500,00
11405      8     900,00     7200,00
11406     10     900,00     9000,00
